id,title,description,availability,condition,price,link,image_link,brand
DEP-0835,Patagonia Women's Los Gatos 1/4-Zip Fleece Pullover,Patagonia Women's Los Gatos 1/4-zip fleece pullover in tan and brown.,in stock,used,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=depop-727490835&slug=patagonia-womens-los-gatos-14-zip-fleece-pullover,https://media-photos.depop.com/b1/43131440/3634390163_2c60cc56759b483db2a58767a87ab030/P0.jpg,Patagonia
DEP-9027,Vintage 1980s The Smiths Hatful Of Hollow Band Tee Shirt,Vintage 1980s The Smiths Hatful Of Hollow Band Tee Shirt | 21x26.5 Large,in stock,used,375.00 USD,https://www.vintageclosetpdx.com/product.html?id=depop-720249027&slug=vintage-1980s-the-smiths-hatful-of-hollow-band-tee-shirt,https://media-photos.depop.com/b1/43131440/3591893850_5c589b235bc54b92b09bc5c3de8b44ab/P0.jpg,The Vintage Closet PDX
DEP-9202,Vintage 1991 Sting Soul Cages Band Tee Grail AOP all over print,Vintage 1991 Sting Soul Cages band tee grail with all over print. XL single stitch.,in stock,used,70.00 USD,https://www.vintageclosetpdx.com/product.html?id=depop-672859202&slug=vintage-1991-sting-soul-cages-band-tee-grail-aop-all-over-print,https://media-photos.depop.com/b1/43131440/3314285382_bae4d2abc80d4883933939a17556fd31/P0.jpg,The Vintage Closet PDX
JKT-8324,Vintage 80s Portland Trail Blazers Chalk Line Satin Bomber Jacket - Made in US,"Vintage 80s Portland Trail Blazers Chalk Line satin bomber jacket, made in USA.",in stock,new,100.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318055198324&slug=vintage-80s-portland-trail-blazers-chalk-line-satin-bomber-jacket-made-in-us,https://i.ebayimg.com/images/g/vV0AAeSw1VppwzEv/s-l1600.webp,The Vintage Closet PDX
TEE-7196,"Vintage 2004 Ramones Faded Band Tee, CBGB 1978 Graphic, Size M",Vintage 2004 Ramones faded band tee with CBGB 1978 graphic.,in stock,new,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318050547196&slug=vintage-2004-ramones-faded-band-tee-cbgb-1978-graphic-size-m,https://i.ebayimg.com/images/g/IJYAAeSwqLFpwfx4/s-l1600.webp,The Vintage Closet PDX
CRW-8264,Vintage Baracuta 3D Knit Coogi Style Merino Wool Sweater XL Earth Tones,Vintage Baracuta 3D knit Coogi-style heavyweight merino wool sweater in earth tones.,in stock,new,80.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318075238264&slug=vintage-baracuta-3d-knit-coogi-style-merino-wool-sweater-xl-earth-tones,https://i.ebayimg.com/images/g/H6UAAeSw3DRpyM0G/s-l1600.webp,The Vintage Closet PDX
CRW-6130,"Vintage 90s Tommy Hilfiger Vertical Stripe Crest Logo Knit Sweater, Men's Medium",Vintage 90s Tommy Hilfiger vertical stripe crest logo knit sweater.,in stock,new,50.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318075236130&slug=vintage-90s-tommy-hilfiger-vertical-stripe-crest-logo-knit-sweater-mens-medium,https://i.ebayimg.com/images/g/sE0AAeSw3ulpyMyD/s-l1600.webp,The Vintage Closet PDX
TEE-9928,Vintage Grateful Dead Steal Your Face Marijuana Tie Dye Shirt,Vintage Grateful Dead Steal Your Face marijuana tie dye shirt.,in stock,new,125.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318138179928&slug=vintage-grateful-dead-steal-your-face-marijuana-tie-dye-shirt,https://i.ebayimg.com/images/g/MZwAAeSwUg1p2yyl/s-l960.webp,The Vintage Closet PDX
TEE-1358,Vintage 1997 Camel Cigarettes Where It's @ Promo T-Shirt,Vintage 1997 Camel Cigarettes 'Where It's @' promo t-shirt.,in stock,new,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318138241358&slug=vintage-1997-camel-cigarettes-where-its-promo-t-shirt,https://i.ebayimg.com/images/g/kmgAAeSweJZp2zEc/s-l1600.webp,The Vintage Closet PDX
TEE-2114,Warner Bros. Marvin the Martian Vintage Ringer Tee,Warner Bros Marvin the Martian vintage ringer tee.,in stock,new,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318138242114&slug=warner-bros-marvin-the-martian-vintage-ringer-tee,https://i.ebayimg.com/images/g/yscAAeSwxahp2zFJ/s-l1600.webp,The Vintage Closet PDX
BOTTOMS-0173,Levi's 550 Relaxed Fit Tapered Leg Jeans Dark Wash,"Levi's 550 relaxed fit tapered leg jeans in dark wash denim. Classic 90s silhouette with a comfortable relaxed seat and thigh, tapering to the ankle. Great vintage Levi's piece.",in stock,used,35.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318138240173&slug=levis-550-relaxed-fit-tapered-leg-jeans-dark-wash,https://i.ebayimg.com/images/g/TJYAAeSwz9pp2zDx/s-l1600.webp,Levi's
JACKET-4113,Lauren Ralph Lauren Mixed Quilt Puffer Jacket,"Lauren Ralph Lauren mixed quilt puffer jacket. Features a quilted body with contrasting panel details. Classic Ralph Lauren quality with a clean, versatile silhouette.",in stock,used,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318138244113&slug=lauren-ralph-lauren-mixed-quilt-puffer-jacket,https://i.ebayimg.com/images/g/nHwAAeSwVNVp2zF1/s-l1600.webp,Ralph Lauren
BOTTOMS-7427,Vintage Spartan Realtree Camouflage Cargo Hunting Pants,Vintage Spartan brand Realtree camouflage cargo hunting pants. Classic camo print with functional cargo pockets. Great outdoor workwear piece with serious vintage character.,in stock,used,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318138177427&slug=vintage-spartan-realtree-camouflage-cargo-hunting-pants,https://i.ebayimg.com/images/g/lrEAAeSwrIhp2ywz/s-l1600.webp,The Vintage Closet PDX
BOTTOMS-6974,Patagonia Men's Iron Forge Hemp Canvas Double Knee Work Pants,Patagonia Men's Iron Forge Hemp Canvas Double Knee pants. Made with durable hemp canvas construction and reinforced double knee panels built for real work. Patagonia quality built to last.,in stock,used,40.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318129946974&slug=patagonia-mens-iron-forge-hemp-canvas-double-knee-work-pants,https://i.ebayimg.com/images/g/cCwAAeSwr0Np2Kq5/s-l1600.webp,Patagonia
TEE-0075,Vintage 90s Grateful Dead Liquid Blue Tie Dye Tee Single Stitch Purple,Vintage 90s Grateful Dead Liquid Blue tie dye tee in a stunning purple colorway. Single stitch construction confirms its vintage authenticity. Liquid Blue was the go-to brand for Dead tie dyes — highly collectible. Size XL.,in stock,used,125.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-317877520075&slug=vintage-90s-grateful-dead-liquid-blue-tie-dye-tee-single-stitch-purple,https://i.ebayimg.com/images/g/tpUAAeSw-Expj7bi/s-l1600.webp,Liquid Blue
JACKET-6378,Rare Vintage 80s Adidas Olympic Games Varsity Jacket 1988 Official Outfitter,Rare vintage 80s Adidas varsity jacket from the 1988 Olympic Games — Adidas was the official outfitter. Exceptional piece of sports history with iconic Adidas trefoil branding. True collector's item.,in stock,used,135.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-317886446378&slug=rare-vintage-80s-adidas-olympic-games-varsity-jacket-1988-official-outfitter,https://media-photos.depop.com/b1/43131440/3421072604_747b63631fd340b0a0ddadf8c0ea13e6/P0.jpg,Adidas
CREW-5516,Vintage 80s Discus Athletic Ohio State University Crewneck Sweatshirt Red,"Vintage 80s Discus Athletic Ohio State University crewneck sweatshirt in classic scarlet red. Discus Athletic is a highly sought-after vintage sweatshirt brand known for their thick, quality fleece. Collegiate graphics with great fading. Size L.",in stock,used,40.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318075245516&slug=vintage-80s-discus-athletic-ohio-state-university-crewneck-sweatshirt-red,https://i.ebayimg.com/images/g/LQoAAeSwUl5pyM7P/s-l1600.webp,Discus Athletic
TEE-7760,Vintage 1980s Coors Light The Silver Bullet T-Shirt,Vintage 1980s Coors Light Silver Bullet graphic T-shirt with classic beer logo print.,in stock,new,30.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318140597760&slug=vintage-1980s-coors-light-the-silver-bullet-t-shirt,https://i.ebayimg.com/images/g/sH8AAeSwJfBp29l~/s-l1600.webp,The Vintage Closet PDX
PANTS-3330,Carhartt B136 GVL Gravel Grey Double-Knee Duck Dungaree Pants,Carhartt B136 GVL double-knee duck dungaree pants in gravel grey with workwear construction.,in stock,new,70.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318129933330&slug=carhartt-b136-gvl-gravel-grey-double-knee-duck-dungaree-pants,https://i.ebayimg.com/images/g/-i0AAeSwEaNp2KiX/s-l1600.webp,Carhartt
TEE-1251,Vintage 1993 Nike Town Orange County Swoosh T-Shirt,Vintage 1993 Nike Town Orange County Swoosh graphic T-shirt with single-era 90s styling.,in stock,new,55.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318140601251&slug=vintage-1993-nike-town-orange-county-swoosh-t-shirt,https://i.ebayimg.com/images/g/0HoAAeSwFd5p29ou/s-l1600.webp,Nike
TEE-3383,Vintage 1993 Warner Bros. Bugs Bunny BB Graphic T-Shirt,Vintage 1993 Warner Bros. Bugs Bunny graphic T-shirt with classic 90s cartoon print.,in stock,new,40.00 USD,https://www.vintageclosetpdx.com/product.html?id=eb-318140573383&slug=vintage-1993-warner-bros-bugs-bunny-bb-graphic-t-shirt,https://i.ebayimg.com/images/g/udUAAeSw2L9p29a4/s-l1600.webp,The Vintage Closet PDX
TEE-4231,Vintage 1970s Champion University of Northern Colorado UNC Bears Football Quarter Sleeve Tee Shirt,"Vintage 1970s Champion University of Northern Colorado UNC Bears Football Quarter Sleeve Tee Shirt Size small Yellow • Streetwear, Sportswear, Retro, 70s, Vintage, preloved * * * ![Image 101: vintagecloset_pdx's profile picture](http://www.depop.com/vintagecloset_pdx/?brandIds=422&productId=728774231) vintagecloset_pdx 1144 sold · Active today (260) [",in stock,used,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-728774231&slug=vintage-1970s-champion-university-of-northern-colorado-unc-bears-football-quarter-sleeve-tee-shirt,https://media-photos.depop.com/b1/43131440/3641908742_5c82f83be0614632ae1d905cfd21d01e/P0.jpg,Champion
TEE-2449,Vintage 1994 Harley-Davidson Daytona Bike Week Eagle T-Shirt Purple Tee,"Vintage 1994 Harley-Davidson Daytona Bike Week Eagle T-Shirt Purple Tee Mens Medium/Large Navy Blue • Cotton, Cotton - Organic • Streetwear, Retro, Indie, 90s, Vintage, preloved * * * ![Image 104: vintagecloset_pdx's profile picture](http://www.depop.com/vintagecloset_pdx/?brandIds=388&productId=728772449) vintagecloset_pdx 1144 sold · Active today (260) [",in stock,used,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-728772449&slug=vintage-1994-harley-davidson-daytona-bike-week-eagle-t-shirt-purple-tee,https://media-photos.depop.com/b1/43131440/3641900888_5be710a2e1794890a3a728654246a904/P0.jpg,Harley-Davidson
PANTS-6540,Levi's SilverTab Loose Fit Baggy Jeans,Levi's SilverTab Loose Fit Baggy Jeans Vintage 90s Levi's SilverTab Loose Fit Baggy Jeans White Denim 32x32 * * * ![Image 91: vintagecloset_pdx's profile picture](http://www.depop.com/vintagecloset_pdx/?brandIds=31&productId=727496540) vintagecloset_pdx 1144 sold · Active today (260) [,in stock,new,55.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-727496540&slug=levis-silvertab-loose-fit-baggy-jeans,https://media-photos.depop.com/b1/43131440/3634467547_223eec423eac40f8b308c550a3c42d08/P0.jpg,Levi's
PANTS-9209,Vintage 90s Levi's SilverTab Loose Fit Denim Jorts,Vintage 90s Levi's SilverTab Loose Fit Denim Jorts Waist: 34” Blue Navy * * * ![Image 93: vintagecloset_pdx's profile picture](http://www.depop.com/vintagecloset_pdx/?brandIds=31&productId=727499209) vintagecloset_pdx 1144 sold · Active today (260) [,in stock,used,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-727499209&slug=vintage-90s-levis-silvertab-loose-fit-denim-jorts,https://media-photos.depop.com/b1/43131440/3634443893_4b941c79ff274310937e77344355578c/P0.jpg,Levi's
TEE-9364,Vintage 1992 Grateful Dead Spring Tour Liquid Blue Tie Dye T-Shirt,Vintage 1992 Grateful Dead Spring Tour Liquid Blue Tie Dye T-Shirt Size XL Vintage 1992 liquid blue single stitch Grateful Dead AOP all over print band tee spring tour shirt XL,in stock,new,160.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-690039364&slug=vintage-1992-grateful-dead-spring-tour-liquid-blue-tie-dye-t-shirt,https://media-photos.depop.com/b1/43131440/3412409743_cd54bcc9efa149f2bbd5d1b63c5ce071/P0.jpg,Liquid Blue
TEE-5627,VTG 90s Joy Division Band Tee Shirt XL Black Graphic Print Ian Curtis,"VTG 90s Joy Division Band Tee Shirt XL Black Graphic Print Ian Curtis This is a rare vintage 90s Joy Division band T-shirt in size XL. It features a black graphic print with a short sleeve design and a crew neckline. Made from 100% cotton, this Fruit of the Loom Heavy Tag tee is part of the Joy Division character family, highlighting Ian Curtis. The shirt is machine washable and suitable for all seasons. Originating from the United States, it is a pre-owned item. Keywords: Joy Division, vintage T-shirt, 90s band tee, Ian Curtis, graphic print, black T-shirt, men's fashion, music theme, Fruit of the Loom, XL size, short sleeve, crew neck, cotton jersey, pre-owned, rare find",in stock,new,85.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-662425627&slug=vtg-90s-joy-division-band-tee-shirt-xl-black-graphic-print-ian-curtis,https://media-photos.depop.com/b1/43131440/3257937390_dccefc30e6e24fc1b32270d3cad5163b/P0.jpg,The Vintage Closet PDX
TEE-0590,AC/DC Who Made Who Tour 1986 Vintage Shirt,AC/DC Who Made Who Tour 1986 Vintage Shirt Vintage 1986 AC/DC Band Tee Shirt XL (19x29) * * * ![Image 77: vintagecloset_pdx's profile picture](http://www.depop.com/vintagecloset_pdx/?brandIds=1667&productId=720090590) vintagecloset_pdx 1144 sold · Active today (260) [,in stock,new,100.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-720090590&slug=acdc-who-made-who-tour-1986-vintage-shirt,https://media-photos.depop.com/b1/43131440/3634472214_12032b85d3df423ab2085c4eb561f3a9/P0.jpg,The Vintage Closet PDX
HOODIE-8802,O'Neill Vintage Y2K Graphic Zip-Up Hoodie Waffle Lined,"O'Neill Vintage Y2K Graphic Zip-Up Hoodie Waffle Lined Size XL Small Stains and signs of wear shown in pics White Grey • Cotton • Streetwear, Retro, Indie, 90s, Vintage, preloved * * * ![Image 104: vintagecloset_pdx's profile picture](http://www.depop.com/vintagecloset_pdx/?brandIds=498&productId=729888802) vintagecloset_pdx 1144 sold · Active today (260) [",in stock,used,55.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-729888802&slug=oneill-vintage-y2k-graphic-zip-up-hoodie-waffle-lined,https://media-photos.depop.com/b1/43131440/3648314468_7a4ce171a2294e699a0addc3e6fee5ef/P0.jpg,O'Neill
PANTS-0919,Distressed Vintage 1970s Levi's Orange Tab Big Bell Flare Jeans,Distressed vintage 1970s Levi's Orange Tab big bell flare jeans in size 29x30.,in stock,used,70.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-729890919&slug=distressed-vintage-1970s-levis-orange-tab-big-bell-flare-jeans,https://media-photos.depop.com/b1/43131440/3648324002_c25f6bae5ec74880a6eadb60cf50bd96/P0.jpg,Levi's
TEE-2167,Vintage Starter 1998 Chicago Bulls Repeat 3-Peat NBA Champions Tee,"Vintage Starter 1998 Chicago Bulls Repeat 3-Peat NBA Champions XXL White • Cotton, Cotton - Organic • Streetwear, Sportswear, Retro, 90s, Vintage, preloved * * * ![Image 101: vintagecloset_pdx's profile picture](http://www.depop.com/vintagecloset_pdx/?brandIds=23&productId=729892167) vintagecloset_pdx 1144 sold · Active today (260) [",in stock,used,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-729892167&slug=vintage-starter-1998-chicago-bulls-repeat-3-peat-nba-champions-tee,https://media-photos.depop.com/b1/43131440/3648336163_7547e69d8d524da5b3e671233b3d2be0/P0.jpg,Starter
PANTS-4480,Vintage 1970s Levi's 517 Sta-Prest Bootcut Polyester Trousers Navy,"Vintage 1970s Levi's 517 Sta-Prest Bootcut Polyester Trousers Navy W36 L30 Black Navy • Streetwear, Retro, Indie, 70s, Vintage, preloved * * * ![Image 104: vintagecloset_pdx's profile picture](http://www.depop.com/vintagecloset_pdx/?brandIds=31&productId=729894480) vintagecloset_pdx 1144 sold · Active today (260) [",in stock,used,55.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-729894480&slug=vintage-1970s-levis-517-sta-prest-bootcut-polyester-trousers-navy,https://media-photos.depop.com/b1/43131440/3648347451_cb9815564c3d4835a453beddfdea6071/P0.jpg,Levi's
PANTS-6462,Vintage Levi's 550 Relaxed Fit Orange Tab Jeans Made in USA,"Vintage Levi's 550 relaxed fit orange tab jeans made in USA, W36 L32.",in stock,used,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-729896462&slug=vintage-levis-550-relaxed-fit-orange-tab-jeans-made-in-usa,https://media-photos.depop.com/b1/43131440/3648357163_1b668b3af2a6400d9368f9056d556fc6/P0.jpg,Levi's
HOODIE-8236,Vintage 90s Russell Athletic Brother Martin Athletics Hoodie,Vintage 90s Russell Athletic Brother Martin Athletics hoodie in burgundy/red cotton.,in stock,used,50.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-729898236&slug=vintage-90s-russell-athletic-brother-martin-athletics-hoodie,https://media-photos.depop.com/b1/43131440/3648366357_589283c29c3e4bf2a7b4585056e602c5/P0.jpg,Russell Athletic
TEE-2604,Vintage 2006 Rob Zombie Educated Horses Tour Shirt w/ Anthrax,Vintage 2006 Rob Zombie Educated Horses Tour Shirt w/ Anthrax - Medium Vintage 2006 Rob Zombie Educated Horses Tour Tee Shirt Medium 19.5x27.5,in stock,new,45.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-715642604&slug=vintage-2006-rob-zombie-educated-horses-tour-shirt-w-anthrax,https://media-photos.depop.com/b1/43131440/3568520239_0caf119064e34638bad43c418687db3d/P0.jpg,The Vintage Closet PDX
CREW-7657,Brand New with Tags Polo Ralph Lauren Cable-Knit Quarter-Zip Sweater,"Brand new with tags Polo Ralph Lauren Cable-Knit Quarter-Zip Sweater Black Size L Retail value $225+ Black • Cotton, Cotton - Organic • Streetwear, Retro, Indie, 90s, Vintage, preloved * * * ![Image 104: vintagecloset_pdx's profile picture](http://www.depop.com/vintagecloset_pdx/?brandIds=237&productId=728777657) vintagecloset_pdx 1144 sold · Active today (260) [",in stock,new,60.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-728777657&slug=brand-new-with-tags-polo-ralph-lauren-cable-knit-quarter-zip-sweater,https://media-photos.depop.com/b1/43131440/3641929800_b8993ef3f9f140a49d935cc93d5c6181/P0.jpg,Polo Ralph Lauren
TEE-8188,1980s Vintage Harley-Davidson 3D Emblem Eagle Head Graphic T-Shirt,1980s Vintage Harley-Davidson 3D Emblem Eagle Head Graphic T-Shirt. Medium. Grey and black cotton tee with classic 3D emblem eagle head graphic.,in stock,new,95.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-733268187b&slug=1980s-vintage-harley-davidson-3d-emblem-eagle-head-graphic-t-shirt,https://media-photos.depop.com/b1/43131440/3668427747_b11c25d784344eb4a8d2480994cb16e4/P0.jpg,Harley-Davidson
TEE-1955,Arc'teryx Arc'Word Logo Short Sleeve Tee,Arc'teryx Arc'Word Logo Short Sleeve Tee. Size Large. Black and navy cotton short sleeve t-shirt.,in stock,used,40.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-728771955&slug=arcteryx-arcword-logo-short-sleeve-tee,https://media-photos.depop.com/b1/43131440/3641897291_b40e90fa65cb4d7f9a68fbb4c25afe90/P0.jpg,The Vintage Closet PDX
CRW-1779,1980s Vintage Walt Disney Productions Mickey Mouse Raglan Crewneck Sweatshirt,1980s Vintage Walt Disney Productions Mickey Mouse raglan crewneck sweatshirt. Size Medium. White and multicolor cotton sweatshirt with retro 80s graphics.,in stock,used,35.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-737641779&slug=1980s-vintage-walt-disney-productions-mickey-mouse-raglan-crewneck-sweatshirt,https://media-photos.depop.com/b1/43131440/3694506684_b21fb946b8e943a3ab239439e69416bb/P0.jpg,The Vintage Closet PDX
CRW-3216,1960s/70s Vintage Black Short Sleeve Knit Polo Sweater with Gold Crest Buttons,1960s/70s vintage black and navy short sleeve knit polo pullover sweater with gold crest buttons. Size Small.,in stock,new,50.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-737643216&slug=1960s70s-vintage-black-short-sleeve-knit-polo-sweater-with-gold-crest-buttons,https://media-photos.depop.com/b1/43131440/3694514686_3ac30c5986534263ab9cd5438c58f038/P0.jpg,The Vintage Closet PDX
TEE-3481,Vintage 1995 Harley-Davidson Motorcycle Gear Graphic Tee,Vintage 1995 Harley-Davidson Motorcycle Gear graphic tee. Size L. Grey and blue cotton short sleeve t-shirt.,in stock,used,40.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-728773480b&slug=vintage-1995-harley-davidson-motorcycle-gear-graphic-tee,https://media-photos.depop.com/b1/43131440/3641906431_c5fb341d410547de9dfe239b42772bb5/P0.jpg,Harley-Davidson
JKT-2187,Vintage BLK 90s Carhartt Hooded Bomber Jacket,Vintage BLK 90s Carhartt Hooded Bomber Jacket. Size XL. Black canvas cotton jacket with hood and classic workwear styling.,in stock,used,80.00 USD,https://www.vintageclosetpdx.com/product.html?id=dp-645242187&slug=vintage-blk-90s-carhartt-hooded-bomber-jacket,https://media-photos.depop.com/b1/43131440/3160266148_12b4f218c095408f8903aab2f20970ab/P0.jpg,Carhartt
